E2101 :  17/04/2013 08:44:42, unknown         , localhost                     , Could not connect to log database 
E2101 :  17/04/2013 08:44:52, unknown         , localhost                     , Could not connect to log database 
E2101 :  17/04/2013 08:45:43, unknown         , localhost                     , Could not connect to log database 
E2101 :  17/04/2013 08:46:44, unknown         , localhost                     , Could not connect to log database 
E2101 :  17/04/2013 08:46:49, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:53:18, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:53:18, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:53:18, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:57:49, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:57:49, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 19:57:49, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:03, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:03, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:04, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:58, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:58, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:25:58, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:34:19, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:34:19, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:34:19, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:36:18, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:36:18, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:39:41, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:39:41, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:39:41, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:39:58, unknown         , localhost                     , Could not connect to log database 
